Date,SPY,IVV,VOO,QQQ,DIA,IWM,EFA,EEM,VTI,AGG,LQD,IEF,TIP,XLF,XLY,XLV,XLI,XLE,XLB,GDX,SLV,USO,GLD,UUP,VXX,AAPL,MSFT,GOOGL,AMZN,META,TSLA,BRK-B,JNJ,JPM,V,PG,UNH,NVDA,HD,DIS,BAC,MA,XOM,VZ,KO,PFE,INTC,T,CSCO,CVX,WMT,MRK,NKE,IBM,MCD,ORCL,ABT,CRM,PEP,ADBE,QCOM,LLY,MDT,UPS,DHR,TXN,C,BA,GE,HON,AMGN,BMY,CAT,SBUX,COST,MMM,GS,CVS,BLK,DE,AMT,NOW,BKNG,SPGI,F,GM,TSM,AMD,XOP,VUG,VTV,IWD,IWF,PYPL,ADP,USB,BK,EMB,NFLX
2015-04-01,175.39273071289062,176.2050018310547,160.7076873779297,99.83456420898438,144.9502410888672,106.18336486816406,49.7846794128418,34.38332748413086,91.26847839355469,85.31243896484375,85.62934112548828,87.74433135986328,88.73687744140625,16.24412727355957,67.46012115478516,61.08694076538086,46.45900344848633,55.62834167480469,41.369693756103516,18.21283721923828,15.430000305175781,164.0800018310547,113.47000122070312,21.520536422729492,,27.949460983276367,41.97989273071289,27.307939529418945,21.089000701904297,78.40049743652344,15.069999694824219,141.2100067138672,75.19930267333984,48.0496826171875,61.59382629394531,60.08494186401367,95.59418487548828,0.5348283052444458,84.60372924804688,100.09197998046875,12.892293930053711,84.8641357421875,56.43159484863281,30.330997467041016,29.539365768432617,21.539703369140625,25.152448654174805,12.532953262329102,21.24246597290039,72.3815689086914,21.368532180786133,41.871212005615234,43.95695495605469,106.42850494384766,75.08722686767578,37.35853576660156,38.366729736328125,72.41552734375,70.9548110961914,76.05999755859375,50.876609802246094,59.7227897644043,58.65727233886719,71.91405487060547,33.70217514038086,41.3523063659668,40.542415618896484,126.1438217163086,112.29605865478516,78.2176742553711,118.40975952148438,46.46952438354492,66.83846282958984,40.74906539916992,119.89301300048828,93.4646224975586,160.9230499267578,75.09317779541016,282.4857177734375,75.9935073852539,75.1091537475586,74.86000061035156,1224.4232177734375,94.45137786865234,9.217567443847656,27.503644943237305,18.41829490661621,2.259999990463257,184.75186157226562,98.22660827636719,65.90050506591797,83.11042022705078,90.36266326904297,,68.05258178710938,30.616165161132812,32.913944244384766,70.37183380126953,79.5
2015-05-01,177.64756774902344,178.49734497070312,162.71762084960938,102.07929229736328,146.61595153808594,108.55799102783203,49.88197708129883,32.972068786621094,92.45260620117188,84.9422836303711,84.6659164428711,87.38764953613281,87.84453582763672,16.560523986816406,68.3469467163086,63.83845901489258,46.60932540893555,52.74195861816406,41.52558898925781,17.732833862304688,15.989999771118164,162.47999572753906,114.0999984741211,21.995695114135742,,29.095129013061523,40.443607330322266,27.136262893676758,21.46150016784668,78.81854248046875,16.719999313354492,143.0,75.91190338134766,50.295860290527344,64.0463638305664,59.71502685546875,103.1541748046875,0.5331419110298157,88.11504364013672,101.61105346679688,13.353601455688477,86.9519271850586,55.030006408691406,30.065290451049805,29.830684661865234,22.060258865356445,26.628360748291016,12.735771179199219,21.596141815185547,67.12855529785156,20.333641052246094,42.806217193603516,45.215545654296875,105.40951538085938,74.60501861572266,37.377777099609375,40.37403869628906,72.34590911865234,71.93199920654297,79.08999633789062,52.13356018066406,65.56460571289062,60.13059997558594,70.97693634033203,35.52969741821289,42.91935729980469,41.12028503417969,123.66215515136719,113.083984375,80.75984191894531,117.17245483398438,47.375667572021484,66.18231964111328,42.70513916015625,119.83441925048828,95.072265625,168.9274139404297,77.6982650756836,283.9139404296875,78.64640045166016,74.04768371582031,76.61000061035156,1159.364501953125,93.95332336425781,8.933473587036133,28.217519760131836,18.297719955444336,2.2799999713897705,166.1056671142578,99.67877197265625,66.67788696289062,84.14142608642578,91.55281829833984,,68.83341979980469,30.78755760192871,33.841102600097656,70.14178466796875,89.15142822265625
2015-06-01,173.19676208496094,173.99667358398438,158.80714416503906,99.31510162353516,143.44046020507812,109.40795135498047,47.52411651611328,31.7692928314209,90.5157470703125,84.0267105102539,83.06902313232422,85.95686340332031,86.94447326660156,16.412424087524414,68.50818634033203,63.36990737915039,45.1478271484375,50.56877136230469,39.70407485961914,16.084537506103516,15.029999732971191,159.0399932861328,112.37000274658203,21.624210357666016,,28.12899398803711,38.35232925415039,26.873517990112305,21.704500198364258,85.3676528930664,17.884000778198242,136.11000061035156,74.41902923583984,51.809791564941406,62.72919464111328,59.600765228271484,104.69019317626953,0.48671987652778625,87.8857192993164,105.08187866210938,13.774442672729492,88.10171508789062,54.182674407958984,28.34432029724121,28.57074737548828,21.46189308166504,23.676502227783203,13.097122192382812,20.23301887512207,63.499271392822266,19.541776657104492,40.02229690551758,48.170711517333984,101.83123016357422,74.57874298095703,34.63609313964844,40.77279281616211,69.24324035644531,69.62698364257812,81.01000213623047,46.85886001586914,69.8586196899414,58.38152313232422,69.83721160888672,35.22922897338867,39.53464126586914,42.04210662841797,122.86040496826172,110.18118286132812,79.41677856445312,115.68534851074219,48.79840087890625,65.7944564819336,44.20969009399414,113.50608825683594,92.79865264892578,171.59104919433594,79.59557342529297,268.54541015625,81.47561645507812,74.4466781616211,74.30999755859375,1138.9180908203125,91.24666595458984,8.83924674987793,26.14651107788086,17.11454963684082,2.4000000953674316,156.48069763183594,97.76997375488281,64.80437469482422,82.43907928466797,89.95382690429688,,64.58316040039062,30.99466896057129,32.75623321533203,68.8571548461914,93.84857177734375
2015-07-01,177.9706268310547,178.79330444335938,163.0220184326172,104.08049774169922,144.5246124267578,107.7430648803711,49.308448791503906,29.986164093017578,92.4500503540039,84.7413101196289,83.75424194335938,87.2653579711914,87.41001892089844,17.045368194580078,72.08670043945312,65.46874237060547,45.506263732910156,46.989990234375,37.87434005737305,12.452836036682129,14.079999923706055,124.72000122070312,104.93000030517578,21.96978187561035,,27.202802658081055,40.56745910644531,32.71857452392578,26.8075008392334,93.56901550292969,17.74333381652832,142.74000549316406,76.51889038085938,52.39853286743164,70.38001251220703,58.42763137817383,104.61658477783203,0.48284754157066345,93.0432357788086,110.47681427001953,14.513845443725586,91.79621124267578,51.58427047729492,28.453779220581055,30.164901733398438,23.081300735473633,22.532371520996094,12.809516906738281,20.940372467041016,58.24000930786133,19.831064224243164,41.76469421386719,51.38150405883789,101.4117431640625,78.33627319335938,34.32669448852539,42.110286712646484,72.89286041259766,72.40222930908203,81.98999786376953,48.509822845458984,70.71209716796875,62.07490921020508,73.76469421386719,37.7459602355957,38.36033630371094,44.49277877807617,127.68731689453125,109.15276336669922,81.81556701660156,133.06976318359375,48.13835906982422,60.992889404296875,47.76328659057617,122.11192321777344,91.01847839355469,168.53382873535156,85.35579681396484,262.64752197265625,79.90361785888672,76.25910186767578,80.5,1230.1209716796875,92.4275894165039,8.733247756958008,24.974769592285156,17.192035675048828,1.9299999475479126,129.10108947753906,101.2399673461914,65.84864044189453,82.24726104736328,92.69757843017578,38.70000076293945,64.59345245361328,32.473140716552734,33.872314453125,68.9514389038086,114.30999755859375
2015-08-01,167.12332153320312,167.8087158203125,153.0184326171875,96.97754669189453,135.24610900878906,101.3716049194336,45.647239685058594,27.336523056030273,86.81845092773438,84.4601821899414,83.06246185302734,87.33451843261719,86.57977294921875,15.841852188110352,67.37799072265625,60.2545051574707,43.04715347290039,44.99201202392578,35.73953628540039,12.7788724899292,13.989999771118164,127.12000274658203,108.81999969482422,21.65012550354004,,25.287616729736328,37.805057525634766,32.23687744140625,25.644500732421875,89.01049041748047,16.604000091552734,134.0399932861328,71.76177978515625,49.331668853759766,66.60597229003906,54.27499771118164,99.70458984375,0.544080913066864,92.5900650024414,94.34033203125,13.263773918151855,87.2032241821289,48.99885559082031,28.308963775634766,28.872535705566406,20.62338638305664,22.213260650634766,12.458415031433105,19.21580696105957,53.30988693237305,17.833633422851562,38.144989013671875,49.834083557128906,92.58463287353516,74.53946685791016,31.996173858642578,37.805999755859375,68.97474670410156,69.83230590820312,78.56999969482422,42.62596893310547,68.90475463867188,57.244468688964844,70.37049865722656,35.874324798583984,36.968849182128906,40.73716354370117,115.73958587646484,103.79969787597656,77.3139419555664,114.3741683959961,43.85735321044922,59.841644287109375,45.10839080810547,117.69981384277344,85.48542785644531,154.99818420410156,77.9593505859375,236.2125244140625,69.09715270996094,73.91783905029297,70.95999908447266,1235.1361083984375,88.10368347167969,8.251373291015625,23.334095001220703,15.458053588867188,1.809999942779541,128.6634979248047,94.86608123779297,62.000972747802734,77.88341522216797,87.34176635742188,35.0,62.60959243774414,30.418865203857422,31.18370819091797,68.17564392089844,115.02999877929688
2015-09-01,162.0166778564453,162.70904541015625,148.4560546875,94.60679626464844,133.58152770996094,96.09187316894531,43.63014221191406,26.48023796081543,83.8540267944336,85.13761901855469,84.04447937011719,88.7110595703125,85.88916778564453,15.321228981018066,66.73100280761719,56.613075256347656,41.87214660644531,41.449798583984375,32.90411376953125,12.443778038024902,13.869999885559082,117.44000244140625,106.86000061035156,21.684682846069336,,24.84790802001953,38.701419830322266,31.766624450683594,25.594499588012695,89.47828674316406,16.559999465942383,130.39999389648438,71.82600402832031,46.922813415527344,65.18054962158203,55.25038146972656,99.97171783447266,0.5991111993789673,91.81886291503906,94.63665008544922,12.646855354309082,85.07904052734375,48.87230682373047,26.77076530456543,29.459980010986328,20.262033462524414,23.65345001220703,12.225762367248535,19.490524291992188,52.57524871826172,17.98591423034668,34.9857177734375,54.83757019042969,91.51004791259766,77.97386932373047,31.15938377380371,33.573814392089844,69.04436492919922,70.86178588867188,82.22000122070312,40.81990051269531,70.44760131835938,53.007965087890625,71.6285171508789,35.128143310546875,38.26708984375,37.78928756713867,116.71869659423828,105.4725341796875,74.10812377929688,104.71620178222656,43.65822219848633,51.16758346557617,46.99379348754883,121.83248138427734,85.85627746582031,143.29432678222656,73.4522933959961,233.9464569091797,62.523704528808594,70.5422592163086,69.44999694824219,1223.4835205078125,78.844482421875,8.07289981842041,23.793798446655273,16.134538650512695,1.7200000286102295,110.55228424072266,91.843994140625,60.02239227294922,75.07456970214844,84.78900909423828,31.040000915527344,65.07121276855469,29.45639419555664,30.674428939819336,67.4169921875,103.26000213623047
2015-10-01,176.71173095703125,177.48976135253906,161.85899353027344,105.61981201171875,145.26052856445312,101.78608703613281,46.51496887207031,28.168575286865234,90.9484634399414,85.21027374267578,84.52943420410156,88.15046691894531,86.3370132446289,16.360963821411133,73.034912109375,61.20210647583008,45.79434585571289,46.41552734375,37.529720306396484,13.548684120178223,14.800000190734863,118.4800033569336,109.30000305175781,21.81427574157715,,26.920440673828125,46.02899169921875,36.69407272338867,31.295000076293945,101.4916763305664,13.795332908630371,136.02000427246094,77.73519897460938,49.447105407714844,72.59127044677734,58.660308837890625,101.93606567382812,0.6895245909690857,98.79898071289062,105.3226318359375,13.66479206085205,93.45292663574219,54.38727569580078,28.844263076782227,31.366865158081055,21.81669044494629,26.572853088378906,12.57474422454834,21.421022415161133,60.5734977722168,15.877752304077148,39.05208206176758,58.58003616333008,88.42329406738281,88.83152770996094,33.50582504272461,37.39697265625,77.27836608886719,77.38639068603516,88.66000366210938,45.14273452758789,68.6630859375,58.85407638549805,74.77118682861328,38.5298957824707,43.830955505371094,40.50103759765625,131.9781036376953,122.0286636352539,80.83099365234375,119.75135040283203,48.94334411621094,57.140785217285156,51.73119354248047,133.2513885498047,95.20679473876953,154.62530517578125,75.20336151123047,276.80816650390625,66.42914581298828,82.38668823242188,81.6500015258789,1438.5125732421875,84.44107818603516,8.810585975646973,28.01003646850586,17.075401306152344,2.119999885559082,125.45116424560547,100.42134094238281,65.04945373535156,81.1624755859375,92.46571350097656,36.0099983215332,70.88399505615234,30.48331642150879,32.63322448730469,69.04228973388672,108.37999725341797
2015-11-01,177.35760498046875,178.18594360351562,162.5470428466797,106.26287841796875,145.9376983642578,105.10421752929688,46.164833068847656,27.45769691467285,91.49485778808594,84.87075805664062,84.4020004272461,87.77320861816406,86.2608413696289,16.68709373474121,72.86353302001953,61.00478744506836,46.19092559814453,46.40871047973633,37.9026985168457,12.461892127990723,13.4399995803833,103.44000244140625,101.91999816894531,22.531335830688477,,26.650102615356445,47.52422332763672,37.96101379394531,33.2400016784668,103.75101470947266,15.350666999816895,134.08999633789062,77.89677429199219,51.68751525878906,73.92933654785156,57.99417495727539,97.548095703125,0.7709457278251648,106.98162078857422,105.07260131835938,14.194122314453125,92.60050201416016,53.6773681640625,28.32767105102539,31.56685447692871,21.13934898376465,27.287006378173828,12.875311851501465,20.396190643310547,60.866783142089844,16.321584701538086,37.87324523925781,59.13888168334961,88.00666046142578,90.34306335449219,33.7515869140625,37.71488571166992,79.24736785888672,75.84910583496094,91.45999908447266,37.06687545776367,69.05867767333984,59.98467254638672,74.76393127441406,39.80170440673828,45.206878662109375,41.23949432373047,129.6428680419922,126.33258819580078,81.35533905029297,121.96199035644531,49.7299919128418,57.510223388671875,50.755615234375,136.03236389160156,94.82527160644531,156.7034912109375,71.87574768066406,286.0491027832031,67.76620483398438,80.08988952636719,87.01000213623047,1235.34375,87.93211364746094,8.611783981323242,29.045063018798828,17.697452545166016,2.359999895095825,125.62034606933594,100.56835174560547,65.40373229980469,81.5266342163086,92.749267578125,35.2599983215332,70.2891616821289,31.71912956237793,34.485225677490234,69.2783203125,123.33000183105469
2015-12-01,173.2612762451172,173.94078063964844,158.7757568359375,104.24984741210938,143.7333221435547,99.38571166992188,44.695777893066406,26.00362777709961,89.0446548461914,84.4125747680664,83.25519561767578,87.23786926269531,85.38885498046875,16.191099166870117,70.50027465820312,61.79405212402344,44.73109817504883,41.1551513671875,35.98808670043945,12.425665855407715,13.1899995803833,88.0,101.45999908447266,22.15984535217285,,23.81401252746582,48.83930969238281,38.71540451049805,33.794498443603516,104.16905975341797,16.000667572021484,132.0399932861328,79.6181640625,51.18367385864258,72.69361114501953,61.5355110168457,101.81490325927734,0.8041253089904785,105.6791000366211,97.30352020263672,13.705512046813965,92.0709457397461,51.68534851074219,28.807588577270508,32.06269836425781,20.99134063720703,27.226322174072266,13.15828800201416,20.328828811645508,60.69260025024414,17.003952026367188,37.73748779296875,55.88418197631836,87.68533325195312,94.22577667236328,31.63831901550293,37.70648956298828,77.96453094482422,75.66736602783203,93.94000244140625,38.35348892211914,71.37710571289062,61.24263381958008,70.33299255371094,38.35235595703125,42.63228988647461,39.45542907714844,129.6731414794922,131.43824768066406,81.52909851074219,123.51525115966797,51.05098342895508,53.79759216308594,49.791893005371094,136.45159912109375,91.82737731933594,149.1388702392578,74.68692779541016,267.8032531738281,64.95576477050781,78.13157653808594,86.55999755859375,1261.1614990234375,90.16242218017578,8.467551231384277,27.287921905517578,17.689678192138672,2.869999885559082,102.2420425415039,97.75666809082031,64.18336486816406,79.19593048095703,90.99309539794922,36.20000076293945,69.03426361083984,30.837434768676758,32.42427444458008,67.88542175292969,114.37999725341797
2016-01-01,165.61502075195312,166.3378143310547,151.87779235839844,97.34213256835938,136.1033935546875,91.2552490234375,42.60048294067383,25.079803466796875,84.4261703491211,85.92776489257812,83.8304214477539,90.42607879638672,86.72794342041016,14.84994125366211,67.12373352050781,57.26572799682617,42.438873291015625,40.07525634765625,32.374732971191406,12.97982406616211,13.59000015258789,77.19999694824219,106.94999694824219,22.341270446777344,,22.022192001342773,48.4959831237793,37.88636779785156,29.350000381469727,111.68363952636719,12.74666690826416,129.77000427246094,80.95130920410156,46.121891021728516,69.82525634765625,63.30229949951172,100.09904479980469,0.7145885229110718,100.93785858154297,89.2975845336914,11.54732608795166,84.19345092773438,51.61904525756836,31.14484977722168,32.032840728759766,19.827314376831055,24.515544891357422,13.789240837097168,17.806446075439453,58.338035583496094,18.56172752380371,36.514259338378906,55.58045959472656,79.5106201171875,98.7240982055664,31.44778823852539,31.77890396118164,67.68196868896484,75.724609375,89.12999725341797,34.7859001159668,67.00603485107422,60.74749755859375,68.118408203125,35.83122634887695,41.169986724853516,32.4640007019043,107.73660278320312,123.70659637451172,81.23783111572266,116.21066284179688,46.38341522216797,49.26961135864258,50.40570068359375,127.68147277832031,92.04682159423828,133.68968200683594,73.78553009033203,248.6412811279297,66.09459686279297,76.42794799804688,62.209999084472656,1053.452392578125,77.76031494140625,7.175485610961914,24.032135009765625,17.378650665283203,2.200000047683716,96.85755920410156,92.23648834228516,61.5784797668457,75.51725769042969,86.15200805664062,36.13999938964844,68.12434387207031,29.12371826171875,28.491209030151367,68.53118133544922,91.83999633789062
